rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,MAS,LEE Chong Wei,0,504 - 109,"$1,359,295.00","97,323 / 12",https://bwfbadminton.com/player/50152/lee-chong-wei,50152
2,CHN,CHEN Long,0,198 - 50,"$756,812.50","81,685 / 12",https://bwfbadminton.com/player/75787/chen-long,75787
3,CHN,DU Pengyu,0,125 - 62,"$191,797.50","64,370 / 13",https://bwfbadminton.com/player/55380/du-pengyu,55380
4,JPN,Kenichi TAGO,+1,155 - 89,"$186,225.50","62,645 / 15",https://bwfbadminton.com/player/63707/kenichi-tago,63707
5,DEN,Jan O JORGENSEN,+1,238 - 143,"$287,922.00","59,778 / 14",https://bwfbadminton.com/player/54431/jan-o-jorgensen,54431
6,VIE,Tien Minh NGUYEN,+2,277 - 109,"$175,443.00","58,897 / 14",https://bwfbadminton.com/player/14107/tien-minh-nguyen,14107
7,INA,Tommy SUGIARTO,0,204 - 100,"$165,551.00","57,678 / 17",https://bwfbadminton.com/player/14587/tommy-sugiarto,14587
8,THA,Boonsak PONSANA,-4,322 - 195,"$211,527.50","56,828 / 20",https://bwfbadminton.com/player/11959/boonsak-ponsana,11959
9,CHN,WANG Zhengming,0,102 - 47,"$172,797.50","55,190 / 14",https://bwfbadminton.com/player/23736/wang-zhengming,23736
10,GER,Marc ZWIEBLER,+1,261 - 131,"$124,343.00","51,374 / 14",https://bwfbadminton.com/player/50858/marc-zwiebler,50858
11,HKG,HU Yun,-1,132 - 92,"$131,992.50","50,139 / 18",https://bwfbadminton.com/player/14869/hu-yun,14869
12,INA,Sony Dwi KUNCORO,0,252 - 124,"$217,222.50","49,550 / 11",https://bwfbadminton.com/player/50427/sony-dwi-kuncoro,50427
13,HKG,WONG Wing Ki Vincent,0,116 - 93,"$72,432.50","48,626 / 18",https://bwfbadminton.com/player/55280/wong-wing-ki-vincent,55280
14,IND,PARUPALLI Kashyap,0,160 - 119,"$100,662.50","48,172 / 14",https://bwfbadminton.com/player/53944/parupalli-kashyap,53944
15,JPN,Takuma UEDA,0,100 - 58,"$53,932.50","47,895 / 18",https://bwfbadminton.com/player/47181/takuma-ueda,47181
16,MAS,LIEW Daren,0,116 - 96,"$41,849.00","46,620 / 13",https://bwfbadminton.com/player/52864/liew-daren,52864
17,MAS,CHONG Wei Feng,0,139 - 91,"$57,293.50","45,110 / 13",https://bwfbadminton.com/player/52030/chong-wei-feng,52030
