rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,JPN / JPN,"Misaki MATSUTOMO, Ayaka TAKAHASHI",0,163 - 85,"$332,502.26","84,125 / 16","https://bwfbadminton.com/player/43851/misaki-matsutomo,https://bwfbadminton.com/player/16981/ayaka-takahashi","43851, 16981"
2,CHN / CHN,"TIAN Qing, ZHAO Yunlei",0,152 - 31,"$718,719.25","81,142 / 9","https://bwfbadminton.com/player/52066/tian-qing,https://bwfbadminton.com/player/54522/zhao-yunlei","52066, 54522"
3,CHN / CHN,"WANG Xiaoli, YU Yang (F)",0,184 - 24,"$1,114,243.75","75,240 / 9","https://bwfbadminton.com/player/14393/wang-xiaoli,https://bwfbadminton.com/player/51667/yu-yang-f","14393, 51667"
4,CHN / CHN,"LUO Ying, LUO Yu",0,85 - 28,"$198,475.00","72,530 / 13","https://bwfbadminton.com/player/61851/luo-ying,https://bwfbadminton.com/player/20296/luo-yu","61851, 20296"
5,DEN / DEN,"Kamilla Rytter JUHL, Christinna PEDERSEN",0,132 - 58,"$343,433.43","65,470 / 15","https://bwfbadminton.com/player/51436/kamilla-rytter-juhl,https://bwfbadminton.com/player/53759/christinna-pedersen","51436, 53759"
6,JPN / JPN,"Reika KAKIIWA, Miyuki MAEDA",0,64 - 36,"$241,501.45","64,423 / 16","https://bwfbadminton.com/player/70308/reika-kakiiwa,https://bwfbadminton.com/player/53150/miyuki-maeda","70308, 53150"
7,INA / INA,"Nitya Krishinda MAHESWARI, Greysia POLII",0,74 - 38,"$231,637.13","56,697 / 12","https://bwfbadminton.com/player/54272/nitya-krishinda-maheswari,https://bwfbadminton.com/player/14729/greysia-polii","54272, 14729"
8,KOR / KOR,"LEE Sohee, SHIN Seungchan",0,98 - 46,"$66,981.22","50,690 / 13","https://bwfbadminton.com/player/91292/lee-sohee,https://bwfbadminton.com/player/87473/shin-seungchan","91292, 87473"
9,NED / NED,"Eefje MUSKENS, Selena PIEK",0,69 - 24,"$71,029.24","48,567 / 16","https://bwfbadminton.com/player/54453/eefje-muskens,https://bwfbadminton.com/player/67176/selena-piek","54453, 67176"
10,CHN / CHN,"OU Dongni, YU Xiao Han",0,27 - 4,"$91,859.99","46,450 / 8","https://bwfbadminton.com/player/93929/ou-dongni,https://bwfbadminton.com/player/62554/yu-xiao-han","93929, 62554"
11,MAS / MAS,"Vivian HOO, WOON Khe Wei",0,87 - 61,"$65,232.64","46,135 / 13","https://bwfbadminton.com/player/54149/vivian-hoo,https://bwfbadminton.com/player/53154/woon-khe-wei","54149, 53154"
12,KOR / KOR,"CHANG Ye Na, KIM Soyeong",0,47 - 31,"$134,584.99","43,496 / 8","https://bwfbadminton.com/player/54361/chang-ye-na,https://bwfbadminton.com/player/55874/kim-soyeong","54361, 55874"
13,INA / INA,"Pia Zebadiah BERNADET, Rizki Amelia PRADIPTA",+2,82 - 52,"$84,387.49","42,636 / 13","https://bwfbadminton.com/player/52730/pia-zebadiah-bernadet,https://bwfbadminton.com/player/91654/rizki-amelia-pradipta","52730, 91654"
14,JPN / JPN,"Shizuka MATSUO, Mami NAITO",-1,127 - 77,"$147,388.32","42,353 / 11","https://bwfbadminton.com/player/55111/shizuka-matsuo,https://bwfbadminton.com/player/54524/mami-naito","55111, 54524"
15,KOR / KOR,"JUNG Kyung Eun, KIM Ha Na",-1,111 - 54,"$211,060.14","41,958 / 7","https://bwfbadminton.com/player/16745/jung-kyung-eun,https://bwfbadminton.com/player/73982/kim-ha-na","16745, 73982"
