rank,country/territory,player,change_+/-,win/lose,prize_money,points/tmts,link,member_id
1,KOR / KOR,"LEE Yong Dae, YOO Yeon Seong",0,82 - 14,"$989,580.61","96,380 / 14","https://bwfbadminton.com/player/52774/lee-yong-dae,https://bwfbadminton.com/player/52273/yoo-yeon-seong","52774, 52273"
2,DEN / DEN,"Mathias BOE, Carsten MOGENSEN",0,318 - 105,"$704,307.12","77,120 / 11","https://bwfbadminton.com/player/50292/mathias-boe,https://bwfbadminton.com/player/51304/carsten-mogensen","50292, 51304"
3,INA / INA,"Hendra SETIAWAN, Mohammad AHSAN",0,94 - 25,"$583,894.38","72,777 / 12","https://bwfbadminton.com/player/51074/hendra-setiawan,https://bwfbadminton.com/player/52749/mohammad-ahsan","51074, 52749"
4,CHN / CHN,"CHAI Biao, HONG Wei",0,62 - 22,"$292,629.99","69,485 / 15","https://bwfbadminton.com/player/96784/chai-biao,https://bwfbadminton.com/player/69809/hong-wei","96784, 69809"
5,JPN / JPN,"Hiroyuki ENDO, Kenichi HAYAKAWA",0,167 - 86,"$244,282.85","64,957 / 16","https://bwfbadminton.com/player/54026/hiroyuki-endo,https://bwfbadminton.com/player/54527/kenichi-hayakawa","54026, 54527"
6,CHN / CHN,"FU Haifeng, ZHANG Nan",+1,41 - 15,"$483,951.88","63,297 / 11","https://bwfbadminton.com/player/51729/fu-haifeng,https://bwfbadminton.com/player/35357/zhang-nan","51729, 35357"
7,KOR / KOR,"KO Sung Hyun, SHIN Baekcheol",+3,44 - 21,"$393,415.23","62,710 / 10","https://bwfbadminton.com/player/88094/ko-sung-hyun,https://bwfbadminton.com/player/54785/shin-baekcheol","88094, 54785"
8,TPE / TPE,"LEE Sheng Mu, TSAI Chia Hsin",-2,76 - 41,"$223,901.87","61,961 / 16","https://bwfbadminton.com/player/52931/lee-sheng-mu,https://bwfbadminton.com/player/13189/tsai-chia-hsin","52931, 13189"
9,CHN / CHN,"LIU Xiaolong, QIU Zihan",-1,115 - 78,"$185,273.73","59,420 / 13","https://bwfbadminton.com/player/11777/liu-xiaolong,https://bwfbadminton.com/player/47277/qiu-zihan","11777, 47277"
10,DEN / DEN,"Mads CONRAD-PETERSEN, Mads Pieler KOLDING",-1,102 - 41,"$98,791.15","56,467 / 17","https://bwfbadminton.com/player/42722/mads-conrad-petersen,https://bwfbadminton.com/player/52958/mads-pieler-kolding","42722, 52958"
11,KOR / KOR,"KIM Gi Jung, KIM Sa Rang",0,119 - 54,"$188,003.48","47,389 / 11","https://bwfbadminton.com/player/39276/kim-gi-jung,https://bwfbadminton.com/player/84007/kim-sa-rang","39276, 84007"
12,RUS / RUS,"Vladimir IVANOV, Ivan SOZONOV",0,157 - 72,"$99,359.74","46,288 / 18","https://bwfbadminton.com/player/53924/vladimir-ivanov,https://bwfbadminton.com/player/67068/ivan-sozonov","53924, 67068"
13,JPN / JPN,"Hirokatsu HASHIMOTO, Noriyasu HIRATA",0,144 - 107,"$124,585.59","46,131 / 15","https://bwfbadminton.com/player/74326/hirokatsu-hashimoto,https://bwfbadminton.com/player/15380/noriyasu-hirata","74326, 15380"
14,INA / INA,"Angga PRATAMA, Ricky KARANDASUWARDI",+2,20 - 9,"$99,623.09","43,090 / 10","https://bwfbadminton.com/player/61855/angga-pratama,https://bwfbadminton.com/player/66493/ricky-karandasuwardi","61855, 66493"
15,DEN / DEN,"Kim ASTRUP, Anders Skaarup RASMUSSEN",-1,80 - 47,"$40,355.75","42,436 / 18","https://bwfbadminton.com/player/92980/kim-astrup,https://bwfbadminton.com/player/44414/anders-skaarup-rasmussen","92980, 44414"
16,INA / INA,"Andrei ADISTIA, Hendra Aprida GUNAWAN",-1,27 - 21,"$110,124.61","42,200 / 13","https://bwfbadminton.com/player/95748/andrei-adistia,https://bwfbadminton.com/player/11401/hendra-aprida-gunawan","95748, 11401"
17,MAS / MAS,"GOH V Shem, TAN Wee Kiong",+5,31 - 18,"$125,690.59","41,458 / 11","https://bwfbadminton.com/player/54805/goh-v-shem,https://bwfbadminton.com/player/52071/tan-wee-kiong","54805, 52071"
18,TPE / TPE,"CHEN Hung Ling, WANG Chi-Lin",-1,27 - 16,"$56,055.73","40,060 / 16","https://bwfbadminton.com/player/53613/chen-hung-ling,https://bwfbadminton.com/player/96514/wang-chi-lin","53613, 96514"
19,JPN / JPN,"Kenta KAZUNO, Kazushi YAMADA",-1,41 - 11,"$48,596.99","39,880 / 12","https://bwfbadminton.com/player/53161/kenta-kazuno,https://bwfbadminton.com/player/54025/kazushi-yamada","53161, 54025"
20,CHN / CHN,"WANG Yi Lyu, ZHANG Wen",-1,30 - 10,"$38,581.24","39,800 / 9","https://bwfbadminton.com/player/99452/wang-yi-lyu,https://bwfbadminton.com/player/87444/zhang-wen","99452, 87444"
21,POL / POL,"Adam CWALINA, Przemyslaw WACHA",-1,118 - 38,"$58,153.85","39,416 / 20","https://bwfbadminton.com/player/15358/adam-cwalina,https://bwfbadminton.com/player/8396/przemyslaw-wacha","15358, 8396"
22,INA / INA,"Wahyu Nayaka ARYA PANGKARYANIRA, Ade Yusuf SANTOSO",+7,55 - 36,"$30,034.98","39,280 / 14","https://bwfbadminton.com/player/59822/wahyu-nayaka-arya-pangkaryanira,https://bwfbadminton.com/player/74945/ade-yusuf-santoso","59822, 74945"
23,JPN / JPN,"Takeshi KAMURA, Keigo SONODA",-2,76 - 45,"$56,210.23","39,270 / 14","https://bwfbadminton.com/player/70969/takeshi-kamura,https://bwfbadminton.com/player/90623/keigo-sonoda","70969, 90623"
24,CHN / CHN,"CAI Yun, LU Kai",0,21 - 13,"$347,816.88","37,440 / 10","https://bwfbadminton.com/player/50251/cai-yun,https://bwfbadminton.com/player/28549/lu-kai","50251, 28549"
25,GER / GER,"Michael FUCHS, Johannes SCHOETTLER",0,28 - 25,"$62,635.38","37,406 / 11","https://bwfbadminton.com/player/51263/michael-fuchs,https://bwfbadminton.com/player/51797/johannes-schoettler","51263, 51797"
26,GER / GER,"Max SCHWENGER, Josche ZURWONNE",0,26 - 14,"$17,509.48","37,231 / 16","https://bwfbadminton.com/player/50324/max-schwenger,https://bwfbadminton.com/player/55514/josche-zurwonne","50324, 55514"
27,SGP / SGP,"Danny Bawa CHRISNANTA, Chayut TRIYACHART",-4,84 - 64,"$44,263.08","36,787 / 13","https://bwfbadminton.com/player/66920/danny-bawa-chrisnanta,https://bwfbadminton.com/player/54662/chayut-triyachart","66920, 54662"
28,CHN / CHN,"LI Jun Hui, LIU Yu Chen",0,61 - 24,"$61,917.50","36,290 / 10","https://bwfbadminton.com/player/79059/li-jun-hui,https://bwfbadminton.com/player/93367/liu-yu-chen","79059, 93367"
29,IND / IND,"ATTRI Manu, REDDY B. Sumeeth",-2,36 - 35,"$16,420.60","35,880 / 15","https://bwfbadminton.com/player/59803/attri-manu,https://bwfbadminton.com/player/24172/reddy-b-sumeeth","59803, 24172"
30,USA / USA,"Sattawat PONGNAIRAT, Phillip CHEW",+1,45 - 60,"$8,851.15","33,867 / 20","https://bwfbadminton.com/player/74872/sattawat-pongnairat,https://bwfbadminton.com/player/36299/phillip-chew","74872, 36299"
31,FRA / FRA,"Baptiste CAREME, Ronan LABAR",+1,61 - 39,"$16,276.62","33,168 / 22","https://bwfbadminton.com/player/51837/baptiste-careme,https://bwfbadminton.com/player/22038/ronan-labar","51837, 22038"
